4,جنس‌معمولی و شیکه
3,کمی انگار بزرگه چون اطراف صفحه نمایش کمی فاصله گرفته
5,خیلی قشنگه  من خوشم اومده
5,خیلیییی خوشگله و قیمتش هم عالی بود
2,فک کنم مرجوعی بود چون پشتش خش داشت
4,با توجه به قیمتش خیلی خوبه و پیشنهاد میدم. 
5,"عالیه هم از نظر قیمت هم کیفیت  همچین کیفیتی انتظار نداشتم"
4,کیفیت فوق العاده ای نداره، اما نسبت به قیمت خیلی به صرفه و کار راه اندازه، من که خوشم اومد، دو تا گرفتم و راضی هستم
5,یکم بغلش شل بود ولی یا بکم گرما حل شد  در کل عالی بود 
4,به نسبت قیمتی که خریدم قابل قبول بود من این کاور رو 55 تومن خرید کردم و خیلی خوب بود با توجه به قیمت کیفیت خوبی داره
5,علی عال بهتر از نیست
5,من برای مامانم خریدم ازش راضی بؤد و قیمت هم عالی ممنون از دیجی کالا
5,خیلی عالی نسبت به بیرون خیلی قیمت مناسب تری هست ممنون از دیجی کالا 
4,عالی من این لامپ رو واسه گربه‌م گرفته بودم اونم استفاده کرد و بهم گفت ک راضیه سلام.
1,سلام وقتی قاب رو تحویل گرفتم شکسته بود واقعا جای تاسف داره که نظارتی رو کالا موقع ارسال انجام نمیشه از دیجی کالا بعیده
5,خیلی شیک و باکیفیته من که راضیم از خریدم😃✋️
5,یه کاور خوشگل
5,خوبه نسبت به قیمتش
5,شیک و با کیفیت
4,نسبت به قیمت اوکی بود
5,جنس و رنگ عالیه و قیمت مناسب
5,در وصفش نمیتونم چیزی بگم عالی
4,بد نبود نسبت به قیمتش ولی ای کاش رنگش به این سرعت نمیرفت فقط
5,خوب بود من راضیم
3,چون پشت گوشی شیشست و براقه ، یه جاهایی از کاور از پشت میچسبه به گوشی و مثل گلسی میشه که حباب افتاده و این موضوع یه خورده رو مخه . ولی خب از نظر زیبایی خوبه و قشنگه اما اثر انگشت رو به شدت جذب میکنه و کثیف میشه
5,باعث زیبایی گوشی میشه.
5,خیلی خوب
3,این گوشی نشد
3,بدنبود من راضیم
3,گوشی رو ضخیم و سنگین میکنه متاسفانه
5,واقعا خوشگله و روگوشی عالی میشه خیلی. ظاهر شیکی میده. به گوشی و واقعا نسبت ب قیمتش خیلی خیلی می ارزه برای خرید.
0,بسیار زیبا و خوش دست هست 
5,عالی و بصرفه
5,زیبایی قیمت مناسب
2,"اولا کیفیت ساخت بالایی نداره. هم جنس خوبی نداره و هم گوشی توی قاب خیلی خوب چفت نمیشه‌ و قطعا بعد چند وقت شل میشه. دوما رنگ خیلی بدی داره و خیلی با تصاویرش تفاوت داره من سرمه‌ای سفارش دادم ولی یه بنفش بدرنگ فرستادن که حلقه دور دوربینش یه آبی جیغ و جلفه"
4,نسبت به قیمت خوبه
3,من راضی نبودم ظاهر خیلی شیکیم نداره
4,پیشناد میکنم خیلی زیبا بود
5,عالی جنسش خوبه
4,پیشنهاد میکنم بخرین.
5,"عالی بود  و به موقع رسید"
4,مناسبه
4,یه کم شل اطراف قاب
5,عالی 
5,ی لایه پلاستیکم روش هست  ک درش بیاری خیلی شفاف میشه 
5,خیلی کاور قشنگ وخوبی بود ممنون
3,عالی در کل. 
4,قاب خیلی خوب و با کیفیته ، پیشنهاد میشه ...
3,خوبه مدل و جنسش .
5,کیفیت بسیار عالی و از لحاظ قیمت نسب به بازار مناسب تر
3,می تونست بهتر باشه
5,خیلی جلوه قشنگی به گوشی داده و محافظتش هم خوبه
4,خوب
5,ارزش خرید را دارد
5,اندازه بود ولی اثر انگشت روش میمونه
5,خیلی زیباست
4,"کیس محکمیه و جنس خوبی هم داره، دوربین رو کامل پوشش میده و شیک هم هست اما دو مساله وجود داره که من میخوام کیس رو عوض کنم. یکی اینکه جای اثر انگشت خیلی روی کیس میمونه و دوم اینکه گوشی a54 با اینکه گوشی خیلی نازکی نیست ولی خوش دسته، این کیس با توجه به اینکه چندان نازک نیست میتونیم بگیم گوشی رو مقداری بد دست میکنه. البته این رو هم بگم بستگی داره چه مدل گوشی دوست دارید، بنده به شخصه گوشی کوچیک دوست دارم که بشه با یک دست باهاش راحت کار کرد، اگه یه مقدار پت و پهن شدن گوشی براتون مهم نیست و مقاومت و امنیت گوشی براتون اهمیت بیشتری داره، کیس خوبیه"
5,khob ghabel ghabol
5,در مقابل مقدار پولی که واسه خرید هزینه کردم راضی ام، خوبه خیلی خوب
4,ساده و زیبا هست اما نمیدانم که پشت شفافش بعد از چقدر قراره زرد یا خط خطی شه بعدا دوباره دیدگاه مینویسم...
1,چون تازه خریدم گوشی قاب خوب هنوز پیدا نکردم مجبور شدم همین بردارم جالب نبود 
1,اشتباه فرستادن ، اندازه گوشی نبود
3,پشتش خط داشت
5,زیبا و با کیفیت
4,قشنگه ولی رنگ روشنش چرک میشه زود پاکم نمیشه
5,کیفیت خوبی داشت
4,کاور مدل N-SKIN مناسب برای گوشی موبایل سامسونگ Galaxy A54 / A54 5G کیفیت خوبی داره
5,خیلیییی قشنگ بود ممنون از فروشنده محترم قیمتشونم به نسبت بازار خیلی خوب بود
5,عالی
5,زیبا و سالم بود
5,جنسش خوبه، رنگش زیاد به دلم ننشست
4,با توجه به قیمتش گزینه خوبیه و ظاهرش شیک . من برای خانمم خریدم و راضی بود چون رنگ بندی و بخش های براقش ظاهرش رو شیک کرده،‌مخصوصا برای خانم ها
5,شیک و محکم
4,قشنگه
5,واقعا عالیه
